Frame#,Sedan,SUV,Total
1,2,1,3
2,2,1,3
3,2,1,3
4,2,1,3
5,2,1,3
6,2,1,3
7,2,1,3
8,2,1,3
9,2,1,3
10,2,1,3
11,2,1,3
12,2,1,3
13,2,1,3
14,2,1,3
15,2,1,3
16,2,1,3
17,2,1,3
18,2,1,3
19,2,1,3
20,2,1,3
21,2,1,3
22,2,1,3
23,2,1,3
24,2,1,3
25,2,1,3
26,2,1,3
27,2,1,3
28,2,1,3
29,2,1,3
30,2,1,3
31,2,1,3
32,2,1,3
33,2,1,3
34,2,1,3
35,2,1,3
36,2,1,3
37,2,1,3
38,2,1,3
39,2,1,3
40,2,1,3
41,2,1,3
42,2,1,3
43,2,1,3
44,2,1,3
45,2,1,3
46,2,1,3
47,2,1,3
48,2,1,3
49,2,1,3
50,2,1,3
51,2,0,2
52,2,0,2
53,2,0,2
54,2,0,2
55,2,0,2
56,2,0,2
57,1,0,1
58,1,0,1
59,1,0,1
60,1,0,1
61,1,0,1
62,1,0,1
63,1,0,1
64,1,0,1
65,1,0,1
66,1,0,1
67,1,0,1
68,1,0,1
69,1,0,1
70,1,0,1
71,1,0,1
72,1,0,1
73,1,0,1
74,1,0,1
75,1,0,1
76,1,0,1
77,1,0,1
78,1,0,1
79,1,0,1
80,1,0,1
81,1,0,1
82,1,0,1
83,1,0,1
84,1,0,1
85,1,0,1
86,1,0,1
87,1,0,1
88,1,0,1
89,1,0,1
90,1,0,1
91,1,0,1
92,1,0,1
93,1,0,1
94,1,0,1
95,1,0,1
96,1,0,1
97,1,0,1
98,1,0,1
99,1,0,1
100,1,0,1
101,1,0,1
102,1,0,1
103,1,0,1
104,1,0,1
105,1,0,1
106,1,0,1
107,1,0,1
108,1,0,1
109,1,0,1
110,1,0,1
111,1,0,1
112,1,0,1
113,1,0,1
114,1,0,1
115,1,0,1
116,1,0,1
117,1,0,1
118,1,0,1
119,1,0,1
120,1,1,2
121,1,1,2
122,1,1,2
123,1,1,2
124,1,1,2
125,1,1,2
126,1,1,2
127,1,1,2
128,1,1,2
129,1,1,2
130,1,1,2
131,1,1,2
132,1,1,2
133,1,1,2
134,1,1,2
135,1,1,2
136,1,1,2
137,1,1,2
138,1,1,2
139,1,1,2
140,1,1,2
141,1,1,2
142,1,1,2
143,1,1,2
144,1,1,2
145,1,1,2
146,1,1,2
147,1,1,2
148,1,1,2
149,1,1,2
150,1,1,2
151,1,1,2
152,1,1,2
153,1,1,2
154,1,1,2
155,1,1,2
156,1,1,2
157,1,1,2
158,1,1,2
159,1,1,2
160,1,2,3
161,1,2,3
162,1,2,3
163,1,2,3
164,1,2,3
165,1,2,3
166,1,2,3
167,1,2,3
168,1,2,3
169,1,2,3
170,1,2,3
171,1,2,3
172,1,2,3
173,1,2,3
174,1,2,3
175,1,2,3
176,1,2,3
177,1,2,3
178,1,2,3
179,1,2,3
180,1,2,3
181,1,2,3
182,1,2,3
183,1,2,3
184,1,2,3
185,1,2,3
186,1,2,3
187,1,2,3
188,1,2,3
189,1,2,3
190,1,2,3
191,1,2,3
192,1,2,3
193,1,2,3
194,1,2,3
195,2,2,4
196,2,2,4
197,2,2,4
198,2,2,4
199,2,2,4
200,2,2,4
201,2,2,4
202,2,2,4
203,2,2,4
204,2,2,4
205,2,2,4
206,2,2,4
207,2,2,4
208,2,2,4
209,2,2,4
210,2,2,4
211,2,2,4
212,2,2,4
213,2,2,4
214,2,2,4
215,2,2,4
216,2,2,4
217,2,2,4
218,2,2,4
219,2,2,4
220,2,2,4
221,2,2,4
222,2,2,4
223,2,2,4
224,2,2,4
225,2,2,4
226,2,2,4
227,2,2,4
228,2,2,4
229,2,2,4
230,2,2,4
231,2,2,4
232,2,2,4
233,2,2,4
234,2,2,4
235,2,2,4
236,2,2,4
237,2,2,4
238,2,2,4
239,2,2,4
240,2,2,4
241,2,2,4
242,2,2,4
243,1,2,3
244,1,2,3
245,1,2,3
246,1,2,3
247,1,2,3
248,1,2,3
249,1,2,3
250,1,2,3
251,1,2,3
